wave_type,frequency,amplitude,phase,snr_db,wave_type_detected,freq_detected,amp_detected,phase_detected,freq_error_hz,freq_error_pct,amp_error,phase_error_rad,freq_error
pulse_triangle,4.862317206378105,0.7744106246557599,4.81574474743693,20.0,sine,4.999380267705403,0.6044941014433942,0.3548846822128261,0.13706306132729829,2.8188835797777023,-0.16991652321236572,1.8223252419554825,0.13706306132729829
pulse_triangle,2.694120779575674,0.5005710564031722,4.939528886195667,,sine,2.9973469269939965,0.36485387076237885,-0.05768262463920176,0.30322614741832243,11.255105922388557,-0.13571718564079338,1.2859737963447175,0.30322614741832243
square,4.0,0.5,3.141592653589793,20.0,square,3.9988580268763503,0.627466895970596,0.0736229811035133,-0.00114197312364972,-0.028549328091242998,0.12746689597059602,-3.0679696724862797,-0.00114197312364972
white_noise,,0.7676487350598524,,,pink_noise,,0.7690944760579287,,,,0.0014457409980762614,,
triangle,3.58112611104431,1.263072519063862,4.926117817806141,20.0,sine,3.7675624512392787,0.8629785679677535,-0.3314347204869297,0.18643634019496869,5.20608139489958,-0.40009395109610857,1.025632768886516,0.18643634019496869
square,4.0,0.5,1.5707963267948966,40.0,cosine,4.0000366745173235,0.6363662305057862,1.6198992064300257,3.667451732347615e-05,0.0009168629330869038,0.13636623050578622,0.04910287963512916,3.667451732347615e-05
triangle,5.0,1.0,0.0,40.0,cosine,5.000467843313153,0.8083321055298749,0.8052234117682157,0.00046784331315308236,0.009356866263061647,-0.1916678944701251,0.8052234117682158,0.00046784331315308236
square,4.011543214631324,0.5859089049499585,3.829531620250104,20.0,triangle,3.9983078750530767,0.7418775074783793,0.7857433631849591,-0.013235339578247185,-0.329931372295177,0.15596860252842082,-3.043788257065145,-0.013235339578247185
square,4.944118972306494,0.7089596074846141,1.244810481932053,40.0,cosine,4.9997108511062915,0.9012856322466709,1.1303473550302916,0.0555918787997971,1.1244041478610047,0.19232602476205685,-0.1144631269017613,0.0555918787997971
triangle,1.0,1.5,3.141592653589793,30.0,triangle,1.0,1.489860615713604,1.5854733526974536,0.0,0.0,-0.010139384286395936,-1.5561193008923395,0.0
pulse_triangle,3.0,0.5,0.0,20.0,cosine,2.996581722861566,0.39244815801951016,-0.897522616972049,-0.0034182771384339006,-0.11394257128113001,-0.10755184198048984,-0.8975226169720489,-0.0034182771384339006
triangle,2.8443977206196305,1.1599513011292788,3.767997054101732,30.0,triangle,2.9651848367204927,1.1550780038834414,1.8584291412082508,0.12078711610086224,4.246491804758923,-0.004873297245837405,-1.909567912893481,0.12078711610086224
pulse_triangle,4.381831594861714,0.6090543064824313,4.367054986213065,20.0,cosine,4.1244023980481845,0.40501652366253366,1.1379071883690386,-0.25742919681352916,-5.8749221927058874,-0.20403778281989765,3.0540375093355596,-0.25742919681352916
cosine,2.0,0.5,0.0,30.0,sine,2.0014450350591972,0.4972869597807762,0.6292637121341303,0.0014450350591972416,0.07225175295986208,-0.0027130402192238057,0.6292637121341302,0.0014450350591972416
square,5.0,1.5,0.7853981633974483,40.0,triangle,5.000071270441609,1.5360316586015406,0.8345555719888433,7.127044160881724e-05,0.0014254088321763447,0.03603165860154056,0.04915740859139506,7.127044160881724e-05
triangle,1.8904934552967585,0.7225223609906076,3.769612812251344,,cosine,1.9744317545570143,0.5616455669492701,-1.172427041015179,0.08393829926025576,4.440020621339819,-0.16087679404133748,1.3411454539130636,0.08393829926025576
pulse_triangle,4.0,1.5,3.141592653589793,40.0,cosine,4.000550282841521,1.1696450789466812,-0.8959954876337487,0.0005502828415213656,0.013757071038034141,-0.33035492105331876,2.2455971659560445,0.0005502828415213656
sawtooth,2.0,1.5,3.141592653589793,30.0,square,1.9985437664848797,1.5109810551952725,0.030578133068738234,-0.0014562335151202532,-0.07281167575601266,0.010981055195272482,-3.111014520521055,-0.0014562335151202532
triangle,2.0,1.5,0.0,30.0,sine,2.0006050925910097,1.2076514586789053,0.16587035454775273,0.0006050925910097149,0.030254629550485745,-0.29234854132109467,0.1658703545477529,0.0006050925910097149
square,2.1144862970145586,1.4921281563407307,5.803636104829765,40.0,sine,2.0170315065499063,1.83675798866137,-0.17465330609391239,-0.09745479046465233,-4.6089109493047395,0.3446298323206394,0.30489589625590874,-0.09745479046465233
